AG-101_S106_F_filt.fastq.gz	AG-102_S118_F_filt.fastq.gz	AG-103_S130_F_filt.fastq.gz	AG-104_S142_F_filt.fastq.gz	AG-105_S154_F_filt.fastq.gz	AG-106_S71_F_filt.fastq.gz	AG-109_S83_F_filt.fastq.gz	AG-110_S149_F_filt.fastq.gz	AG-117_S161_F_filt.fastq.gz	AG-118_S131_F_filt.fastq.gz	AG-119_S78_F_filt.fastq.gz	AG-120_S90_F_filt.fastq.gz	AG-121_S143_F_filt.fastq.gz	AG-122_S155_F_filt.fastq.gz	AG-123_S72_F_filt.fastq.gz	AG-124_S84_F_filt.fastq.gz	AG-130_S108_F_filt.fastq.gz	AG-132_S132_F_filt.fastq.gz	AG-133_S144_F_filt.fastq.gz	AG-136_S73_F_filt.fastq.gz	AG-137_S85_F_filt.fastq.gz	AG-138_S77_F_filt.fastq.gz	AG-139_S97_F_filt.fastq.gz	AG-140_S109_F_filt.fastq.gz	AG-145_S121_F_filt.fastq.gz	AG-146_S133_F_filt.fastq.gz	AG-147_S145_F_filt.fastq.gz	AG-148_S157_F_filt.fastq.gz	AG-149_S102_F_filt.fastq.gz	AG-150_S114_F_filt.fastq.gz	AG-153_S74_F_filt.fastq.gz	AG-154_S86_F_filt.fastq.gz	AG-155_S126_F_filt.fastq.gz	AG-156_S138_F_filt.fastq.gz	AG-161_S98_F_filt.fastq.gz	AG-162_S150_F_filt.fastq.gz	AG-163_S110_F_filt.fastq.gz	AG-164_S122_F_filt.fastq.gz	AG-165_S162_F_filt.fastq.gz	AG-166_S79_F_filt.fastq.gz	AG-167_S134_F_filt.fastq.gz	AG-168_S146_F_filt.fastq.gz	AG-169_S158_F_filt.fastq.gz	AG-170_S75_F_filt.fastq.gz	AG-171_S91_F_filt.fastq.gz	AG-172_S87_F_filt.fastq.gz	AG-177_S99_F_filt.fastq.gz	AG-178_S111_F_filt.fastq.gz	AG-179_S123_F_filt.fastq.gz	AG-180_S135_F_filt.fastq.gz	AG-181_S147_F_filt.fastq.gz	AG-182_S159_F_filt.fastq.gz	AG-183_S76_F_filt.fastq.gz	AG-184_S88_F_filt.fastq.gz	AG-77_S148_F_filt.fastq.gz	AG-78_S93_F_filt.fastq.gz	AG-81_S105_F_filt.fastq.gz	AG-82_S117_F_filt.fastq.gz	AG-85_S129_F_filt.fastq.gz	AG-86_S89_F_filt.fastq.gz	AG-87_S141_F_filt.fastq.gz	AG-88_S101_F_filt.fastq.gz	AG-89_S153_F_filt.fastq.gz	AG-90_S70_F_filt.fastq.gz	AG-93_S82_F_filt.fastq.gz	AG-94_S113_F_filt.fastq.gz	AG-95_S125_F_filt.fastq.gz	AG-96_S137_F_filt.fastq.gz	AG-97_S94_F_filt.fastq.gz	AG-98_S160_F_filt.fastq.gz	FG-107_S131	FG-108_S143	FG-111_S164	FG-112_S155	FG-113_S167	FG-114_S179	FG-125_S191	FG-126_S176	FG-127_S192	FG-128_S188	FG-129_S204	FG-134_S105	FG-135_S117	FG-142_S216	FG-144_S228	FG-73_S119	FG-74_S104	FG-76_S128	FG-79_S140	FG-80_S152	FGJuly_100_S58_F_filt.fastq.gz	FGJuly_115_S94_F_filt.fastq.gz	FGJuly_116_S106_F_filt.fastq.gz	FGJuly_141_S118_F_filt.fastq.gz	FGJuly_143_S35_F_filt.fastq.gz	FGJuly_157_S47_F_filt.fastq.gz	FGJuly_158_S59_F_filt.fastq.gz	FGJuly_159_S71_F_filt.fastq.gz	FGJuly_160_S83_F_filt.fastq.gz	FGJuly_173_S95_F_filt.fastq.gz	FGJuly_174_S107_F_filt.fastq.gz	FGJuly_175_S119_F_filt.fastq.gz	FGJuly_176_S36_F_filt.fastq.gz	FGJuly_75_S100_F_filt.fastq.gz	FGJuly_83_S93_F_filt.fastq.gz	FGJuly_84_S105_F_filt.fastq.gz	FGJuly_91_S117_F_filt.fastq.gz	FGJuly_92_S34_F_filt.fastq.gz	FGJuly_99_S46_F_filt.fastq.gz
1	0	0	0	0	0.994457124225628	0.894114765141772	9.50427205820151	6.4806303348654	1.50532729464664	4.39159136663701	2.54458556445546	1.91989998660535	0	0.299530735181549	0.447555657562543	0.393914028263332	4.56498617315465	1.83985213197646	4.57852193995381	0.309897346503971	0.244950580146111	0.823107305454217	0	0	4.53948892148537	6.26776474017929	2.73945077026122	5.17503805175038	18.8583335964386	16.4206891882743	0	0	0	0	0.127474002012747	0.215531987683886	12.3736064298678	2.63471214041556	1.09437559580553	0.281721059563881	0	0	0	0	0	0	0	0	0.243509681473626	0	0	0	0	0	0	0	0.38231242796503	0.227981761459083	0	0.128057369701626	0.213971995945794	0.181300903715274	0	0	0	0	0	0	0	0	4.95454347731524	17.0270042904013	34.319170865781	3.68103257256814	0.153966667567057	0.133079272903245	3.41428465548336	15.9269611556647	1.78138959151822	3.30565314595976	0.547316844327452	5.78530821536061	3.48855158219707	19.9059744203703	5.46514823069642	0	0	0.283770088316201	0	0.207319531227504	0	2.04305198006244	4.61605367793241	17.8347107438017	13.237863708881	0.932659517646576	0.689220589972825	0	0.173758865248227	0	0	0	0	0	0.419818953076486	1.03350313479624	0	0	0
2	0	0	0	0	0	0.128605548410803	0.406057017172828	0.604070912672357	0.755921931510866	0.229411489301934	1.01340885958313	1.43322766441934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173983410884078	0	0.126582278481013	0.794010889292196	2.43115566309483	1.02192564346997	0.998829211181033	8.25910400838355	3.25369907942306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99536165069013	5.97552195824334	2.2899437069984	7.88833397362018	2.69154247531814	5.28840789914091	0.315497223624432	0.541546793027585	0.132165059474277	0.282969885773624	0.135830018434074	0.14591288690199	0.163689417123336	0	3.54082387228675	1.08101287120384	3.52725606962895	2.8140926213162	0	0	0	0	0	0	0	0	0	0.221923728318636	0	0	0	0	0	0	0	0.416278687626664	0.91948310139165	0.137741046831956	0	0.875138666337976	0.606514119176086	2.02215664457452	2.19858156028369	0	0	0	0	0.63924218335983	9.73017886036647	9.28193573667712	0.376724532912488	0.246436337279536	0
3	0	0	0	0	0.489077274209325	0.238838875620062	0.198798747990864	0	0	0	0.128335619772536	0.133946510693396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152246726695376	0.117775721376293	0	0	0.13235731071554	0.251035901158395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109476565172768	0	0	0	0	0	0	0.191349234603062	0	0	0.29190241089769	0	0.147075461025003	0	0	0.111184461971439	0.191799505583497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149730772553198	0	0	0	0	0	0	0	0	0	0.217498358502955	0.103847835592479	0	0	0	0	0	0	0	0
16	0	0	0.281899109792285	0	0	0	0.211488029777515	0	0	0	0	0.111622092244497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161019792016102	0	0	0	0	0.190253183082102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.734250330412649	0.184319833852544	0.161702402897707	0.611592313184937	0	0	0.119622428117795	0.161941616892403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263073979591837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275898896404414	0.22344757991855	0	0	0.801411441045423	0.852283440811555	0.168885746828483	0.364147678107874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.366594686887963	0	0	0	0	0	0	0
50	0	0.101154349637034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03984197383623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11486759181646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198345508199894	0	0	0	0	0	0	0	0	0	0	0
56	0.376937037554097	0	0	0	0	0	0	0	0.127073083314327	0.393276838803315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174438108017444	0.218953130345535	0	0	0	0	0.203039035892062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182939800042544	0	0.409930715935335	0	0	0.168842524195737	0	0	0.189145371728557	0.160338167772028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.360492150152817	0.212582745815618	0.17300117108485	0	0.351131423475644	0.185232827373296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221826104179045	0.22602375465343	0	0	0.161019792016102	0	0	0	0	0	0	0	0.44499822000712	0.490143078531012	0	0.165771739522145	0.215304566251009	0.248896934042312	0	0	0	0.174750660642741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357025607353907	0.284215128989943	0	0	0	0	0	0	0	0
